                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 3.4731,                 5.2838,                 3.9223,                0.00034,                 0.0271,                0.00028,                  7e-05,                 3.2624,                 5.4978,                  3.911,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                 3.2468,                 5.6102,                 3.8455,                0.00065,                0.04452,                0.00311,                0.00197,                 3.2645,                 5.1756,                 3.8755,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                 3.2039,                 5.4965,                 3.8209,                0.00107,                0.04397,                0.00453,                0.00211,                  3.271,                 5.4767,                 3.8686,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                  3.307,                 5.6228,                 3.8599,                0.00114,                0.05008,                0.00283,                0.00123,                 3.2787,                 5.2923,                 3.8685,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                  3.295,                 5.5733,                 3.8423,                0.00135,                0.04732,                 0.0055,                0.00272,                 3.2759,                 5.9308,                 3.8821,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                 3.2404,                 5.5019,                 3.8209,                0.00103,                0.04466,                0.00201,                 0.0009,                 3.2932,                 5.8342,                 3.8658,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 3.2437,                 5.6034,                 3.8264,                0.00086,                0.04146,                0.00433,                0.00194,                 3.2694,                 6.2815,                 3.8781,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                 3.2309,                 5.7408,                  3.741,                0.00142,                0.04911,                0.00477,                0.00246,                 3.2788,                 6.0375,                 3.8752,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                 3.3762,                    5.7,                 3.8322,                0.00103,                0.04408,                0.00322,                0.00178,                  3.285,                 6.4742,                 3.8834,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                 3.3527,                 5.5956,                 3.8283,                0.00076,                0.04103,                0.00252,                0.00114,                  3.276,                 5.3861,                 3.8587,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                 3.3245,                 5.6044,                 3.8417,                0.00093,                0.05553,                0.00157,                0.00052,                  3.268,                 5.4324,                 3.8546,             3.5462e-06,             3.5462e-06,             3.5462e-06
