                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.6851,                 1.5208,                 1.8428,                0.78929,                0.85147,                0.86629,                0.56211,                 1.4881,                 1.2599,                 1.7814,               0.005347,               0.005347,               0.005347
                     49,                 1.6856,                 1.5405,                  1.843,                0.79528,                0.78464,                0.84707,                0.55798,                 1.5066,                 1.3152,                 1.7568,               0.005248,               0.005248,               0.005248
                     50,                 1.6867,                 1.4907,                 1.8527,                0.85655,                0.79425,                0.88476,                0.56679,                  1.509,                 1.3131,                 1.7513,               0.005149,               0.005149,               0.005149
                     51,                 1.6483,                 1.4428,                 1.8078,                 0.8634,                0.80721,                0.88947,                0.59439,                 1.4361,                 1.3339,                 1.7117,                0.00505,                0.00505,                0.00505
                     52,                 1.6096,                 1.4217,                 1.7866,                0.84856,                0.89434,                0.90054,                0.58625,                  1.457,                  1.208,                 1.7143,               0.004951,               0.004951,               0.004951
                     53,                 1.6769,                 1.4935,                 1.8251,                 0.8462,                0.81664,                0.88516,                0.60711,                 1.4034,                 1.2289,                 1.6851,               0.004852,               0.004852,               0.004852
                     54,                 1.5938,                  1.414,                 1.7915,                0.91496,                0.83666,                 0.9121,                0.59891,                 1.3723,                 1.2025,                   1.67,               0.004753,               0.004753,               0.004753
                     55,                 1.6582,                 1.4302,                 1.8149,                0.88253,                 0.8374,                0.90106,                0.59962,                 1.4425,                 1.2572,                 1.7022,               0.004654,               0.004654,               0.004654
                     56,                 1.5624,                 1.3709,                 1.7629,                0.81822,                0.84571,                0.88516,                0.58805,                 1.4146,                 1.2989,                 1.6985,               0.004555,               0.004555,               0.004555
                     57,                 1.5833,                 1.3843,                 1.7847,                0.91026,                0.80808,                0.90211,                0.61884,                 1.3897,                 1.1973,                 1.6526,               0.004456,               0.004456,               0.004456
                     58,                 1.5404,                 1.3284,                 1.7447,                 0.9048,                0.80469,                0.90508,                0.60478,                 1.4217,                 1.1237,                 1.7051,               0.004357,               0.004357,               0.004357
                     59,                 1.6036,                 1.4064,                 1.7893,                0.86821,                0.78563,                0.88639,                0.60025,                 1.3823,                 1.3833,                 1.6668,               0.004258,               0.004258,               0.004258
                     60,                  1.543,                 1.3721,                 1.7575,                0.84371,                0.90056,                0.91443,                0.61819,                 1.3639,                 1.1095,                 1.6441,               0.004159,               0.004159,               0.004159
                     61,                 1.5289,                 1.3282,                  1.725,                 0.9272,                0.90206,                0.94341,                0.64585,                 1.3454,                 1.0621,                 1.6117,                0.00406,                0.00406,                0.00406
                     62,                 1.5075,                 1.3196,                 1.7248,                0.88517,                0.90457,                0.93547,                0.64266,                 1.3342,                 1.1172,                 1.5971,               0.003961,               0.003961,               0.003961
                     63,                 1.4529,                 1.2301,                  1.679,                0.91867,                0.87181,                0.91823,                0.64182,                 1.3377,                 1.0753,                 1.6065,               0.003862,               0.003862,               0.003862
                     64,                 1.4998,                  1.266,                 1.7227,                0.86671,                 0.8793,                0.90723,                0.64157,                 1.3061,                 1.1258,                 1.5809,               0.003763,               0.003763,               0.003763
                     65,                 1.5028,                 1.2416,                 1.7053,                0.91557,                0.84077,                0.92345,                0.63924,                 1.3466,                  1.058,                 1.6115,               0.003664,               0.003664,               0.003664
                     66,                 1.4682,                 1.2189,                 1.6868,                0.90112,                0.89239,                0.94867,                0.65092,                 1.3282,                 1.0061,                 1.5818,               0.003565,               0.003565,               0.003565
                     67,                 1.4627,                 1.2336,                 1.6694,                0.90446,                 0.9015,                0.93724,                0.65729,                 1.3304,                 1.0806,                 1.5732,               0.003466,               0.003466,               0.003466
                     68,                 1.4634,                 1.2296,                 1.6789,                0.92594,                0.89708,                0.93293,                 0.6453,                  1.372,                0.96479,                 1.6015,               0.003367,               0.003367,               0.003367
                     69,                 1.4014,                 1.1612,                 1.6235,                0.87958,                0.90422,                0.94134,                0.66267,                 1.2763,                 1.1017,                 1.5304,               0.003268,               0.003268,               0.003268
                     70,                 1.4172,                 1.1556,                 1.6511,                0.95624,                0.86064,                0.95548,                0.67331,                 1.2531,                 0.9943,                 1.5413,               0.003169,               0.003169,               0.003169
                     71,                 1.3593,                 1.1394,                 1.6227,                0.89983,                 0.8894,                0.94777,                0.67899,                 1.2477,                 1.0607,                 1.4955,                0.00307,                0.00307,                0.00307
                     72,                 1.3501,                 1.1162,                  1.612,                0.91971,                 0.8942,                0.94603,                0.68352,                 1.2247,                0.99651,                 1.4938,               0.002971,               0.002971,               0.002971
                     73,                 1.4204,                  1.125,                 1.6486,                0.94795,                0.88366,                0.95239,                0.67243,                 1.2427,                 1.0123,                  1.514,               0.002872,               0.002872,               0.002872
                     74,                  1.383,                 1.1142,                 1.6105,                0.91497,                0.86828,                 0.9491,                0.67503,                 1.2119,                 1.0532,                  1.504,               0.002773,               0.002773,               0.002773
                     75,                 1.3258,                 1.0545,                  1.576,                0.92927,                 0.8735,                0.95506,                0.68994,                 1.2085,                0.94334,                 1.5047,               0.002674,               0.002674,               0.002674
                     76,                 1.3543,                 1.1236,                 1.5892,                 0.9409,                0.88306,                0.96473,                0.68611,                  1.243,                0.97951,                 1.5063,               0.002575,               0.002575,               0.002575
                     77,                 1.3323,                 1.0903,                 1.5668,                0.91448,                0.91221,                0.97109,                0.68793,                 1.2663,                0.89938,                 1.5183,               0.002476,               0.002476,               0.002476
                     78,                 1.3253,                 1.0507,                 1.5729,                0.95681,                0.88878,                0.96469,                0.68527,                 1.2438,                0.92213,                  1.495,               0.002377,               0.002377,               0.002377
                     79,                 1.3285,                 1.0561,                 1.5657,                 0.9418,                0.90973,                0.96205,                0.67706,                 1.2551,                0.93224,                  1.503,               0.002278,               0.002278,               0.002278
                     80,                 1.3675,                 1.0726,                  1.589,                0.96847,                0.89373,                0.96151,                0.65905,                 1.3398,                 1.0504,                 1.5488,               0.002179,               0.002179,               0.002179
                     81,                 1.2902,                 1.0333,                 1.5138,                0.92739,                0.91025,                0.96717,                0.68538,                 1.2733,                 1.0064,                 1.4889,                0.00208,                0.00208,                0.00208
                     82,                 1.2988,                 1.0379,                 1.5352,                0.87727,                0.93693,                 0.9625,                0.66877,                 1.2479,                 1.0303,                 1.4907,               0.001981,               0.001981,               0.001981
                     83,                 1.2922,                 1.0636,                 1.5295,                   0.87,                0.91914,                0.96307,                0.66652,                  1.244,                0.95817,                 1.4927,               0.001882,               0.001882,               0.001882
                     84,                 1.2705,                   1.04,                 1.5305,                0.95767,                0.89471,                0.96757,                0.69997,                 1.2146,                0.90405,                 1.4645,               0.001783,               0.001783,               0.001783
